id,criterion,tier,status,summary,location,required_evidence,report
UQ-01,C2,Fatal,OPEN,Weaver floor omits bandwidth timescale and differs in prefactor.,src/codameter/uq_measurement.py:76,Correct formula; verify dimensional consistency and independent bandwidth calibration.,02_software_and_uncertainty.md
UQ-02,C2,Fatal,OPEN,Floor variability is substituted for conditional-mean variability.,src/codameter/uq_processing.py:220,Recover exact zero-mean mixture variance; separate bias and MSE.,02_software_and_uncertainty.md
UQ-03,C2,Poor,OPEN,Shared-data pipeline estimates are treated as independent observations.,src/codameter/uq_bayes.py:297,Derive joint likelihood or mixture; check duplicate-pipeline invariance.,02_software_and_uncertainty.md
UQ-04,C2,Poor,OPEN,Constructed Cd is not derived or calibrated for shared errors.,src/codameter/uq_bayes.py:328,"Derive covariance; test shared bias, temporal dependence, and component accounting.",02_software_and_uncertainty.md
UQ-05,C2,Fair,OPEN,Bayesian pipeline ignores config axes and changes physical stacking durations.,src/codameter/uq_bayes.py:121,Honor or reject config; preserve physical time under cadence and gaps.,02_software_and_uncertainty.md
DET-01,C2,Fair,OPEN,"RMS, valid supports, reference observables, and requested estimators differ.",src/codameter/deviations.py:174,Align datum/support; expose unsupported configurations; replicate paired comparisons.,02_software_and_uncertainty.md
DET-02,C3,Fair,OPEN,Cache inputs depend on warmth and lack generator-code identity.,src/codameter/golden.py:508,"Consistent precision, versioned cache key, and atomic writes.",02_software_and_uncertainty.md
INV-01,C2,Poor,OPEN,Temporal Cd is not connected to diagonal stress inversion or cross-band depth input.,src/codameter/inverse/linear_fit.py:430,Demonstrate GLS and explicit time-band covariance propagation.,02_software_and_uncertainty.md
INV-02,C2,Poor,OPEN,Bounds and disconnected reference nodes can have zero reported uncertainty.,src/codameter/inverse/linear_fit.py:544; src/codameter/uq_measurement.py:419,Use bounded uncertainty; identify graph components and null spaces.,02_software_and_uncertainty.md
SCALE-01,C3,Fair,OPEN,Dense Gibbs covariance path is cubic in epoch count.,src/codameter/uq_bayes.py:299,Use structured algebra; report memory/runtime scaling and equivalence.,02_software_and_uncertainty.md
SCALE-02,C3,Fair,OPEN,Shard aggregation accepts duplicates and missing shards.,src/codameter/bench.py:314,Require complete unique task inventory and matched provenance.,02_software_and_uncertainty.md
AG-01,C3,Fair,OPEN,Public advisor routes fail for three applications and mismatch hard-case targets.,.claude/skills/codameter-advisor/references/validation_loop.md:37,Provide executable matched public cases for all applications.,03_advisor_and_golden_dataset.md
AG-02,C2,Fair,OPEN,Elicited constraints and error-bar comparisons lack executable evaluation.,.claude/skills/codameter-advisor/references/validation_loop.md:45,"Validate overrides, safeguards, equivalence, and repeated-seed differences.",03_advisor_and_golden_dataset.md
AG-03,C4,Fair,OPEN,Matched synthetic recommendations are described as proven field choices.,.claude/skills/codameter-advisor/SKILL.md:3,State conditional scope; validate independent field/simulator transfer.,03_advisor_and_golden_dataset.md
EV-01,C4,Fatal,OPEN,Sparse zero predictions score perfectly on all public cases.,src/codameter/frugalmind.py:299; src/codameter/golden.py:578,Fix score support and missingness; rerun adversarial and model evaluations.,03_advisor_and_golden_dataset.md
EV-02,C3,Fair,OPEN,Truth-free function is not demonstrated sandbox isolation.,src/codameter/golden.py:560; src/codameter/frugalmind.py:117,Prove separate scorer/agent access boundaries with observables-only artifacts.,03_advisor_and_golden_dataset.md
EV-03,C2,Fair,OPEN,Gold corpus shares generator families and derives thresholds from baseline implementation.,src/codameter/private_golden.py:85; src/codameter/golden.py:604,Freeze independent benchmark; distinguish parameter and simulator holdout.,03_advisor_and_golden_dataset.md
EV-04,C4,Poor,OPEN,No executed agent evaluation supports the robust-evaluation claim.,paper/manuscript_marine.qmd:41,"Archive model protocols, runs, baselines, scores, costs, and uncertainties.",03_advisor_and_golden_dataset.md
SCI-01,C2,Poor,OPEN,SD/SE/network heterogeneity are conflated with one measurement uncertainty.,paper/manuscript_marine.qmd:446,Define estimands and hypotheses; use network covariance propagation.,01_manuscript_and_figures.md
SCI-02,C4,Fair,OPEN,Conditional surrogate experiments are generalized to observational dominance and depth.,paper/manuscript_marine.qmd:180; paper/manuscript_marine.qmd:1207,Add independent wavefields and qualify surrogate physical interpretations.,01_manuscript_and_figures.md
SCI-03,C4,Fair,OPEN,Raw trailing references are presented as common defensible comparisons.,paper/manuscript_marine.qmd:540,Benchmark comparable registered observables and surveyed reference workflows.,01_manuscript_and_figures.md
SCI-04,C6,Fair,OPEN,Estimator prescriptions and novelty boundary exceed cited conditional evidence.,paper/manuscript_marine.qmd:309,Compare tuned methods; delimit contribution relative to Yuan2021 and other work.,01_manuscript_and_figures.md
SCI-05,C2,Poor,OPEN,Nominal interval coverage lacks repeated independent validation and chain diagnostics.,paper/manuscript_marine.qmd:995,"Report held-out coverage, uncertainty, width, convergence, and failure rates.",01_manuscript_and_figures.md
SCI-06,C4,Poor,OPEN,Depth and operational claims exceed demonstrated results.,paper/manuscript_marine.qmd:36; paper/manuscript_marine.qmd:1298,Add actual depth/resolution and scaling results or narrow claims consistently.,01_manuscript_and_figures.md
SCI-07,C4,Poor,OPEN,"Field comparison counts, masks, correlations, and physical attribution are inconsistent.",paper/manuscript_marine.qmd:1133,Publish exact comparison driver and date masks; recompute statistics and labels.,01_manuscript_and_figures.md
